id;guid;dayOfWeek;openHoursBegin;openHoursEnd;breakHoursBegin;breakHoursEnd;comment;type;chartOrganizationId
8079;7316a13a-df0a-4b42-b538-c98d198f6367;0;;;;;;ReceptionHours;1
8080;ce44dc00-df96-4e72-b1c4-6e1c3c832a27;2;10:00:00;17:00:00;11:00:00;15:00:00;;ReceptionHours;1
8081;831b85cb-0f2b-49db-8e2e-0716bae0fc73;3;10:00:00;17:00:00;11:00:00;15:00:00;;ReceptionHours;1
8082;01ef3f57-87fc-4144-b42d-0dcf368f1bec;4;10:00:00;17:00:00;11:00:00;15:00:00;;ReceptionHours;1
8083;2bf973b1-3451-4650-954c-6565fb22a8b1;5;10:00:00;17:00:00;11:00:00;15:00:00;;ReceptionHours;1
8084;0831a9d7-c680-4f2c-bdde-265339b3b3ee;6;;;;;;ReceptionHours;1
8085;15bbe59c-ea8a-4a7a-ab55-8392272dd32b;1;10:00:00;17:00:00;11:00:00;15:00:00;;ReceptionHours;1
8086;6c175da0-8d36-4278-bf4b-d51cef4a21df;0;;;;;;OpeningHours;1
8087;ecfc6ce3-213e-47da-86b0-c9885588ecf0;2;09:00:00;17:00:00;12:00:00;13:00:00;;OpeningHours;1
8088;7f8ba370-c3fe-4d02-9c44-89e73269d9c9;3;09:00:00;17:00:00;12:00:00;13:00:00;;OpeningHours;1
8089;b7d4733b-258d-47a8-a719-b03a17b4bbfd;4;09:00:00;17:00:00;12:00:00;13:00:00;;OpeningHours;1
8090;4553b1b3-e6ba-4e07-b319-31fbc90cc5c2;5;09:00:00;17:00:00;12:00:00;13:00:00;;OpeningHours;1
8091;9c9df11f-cc26-472c-ab6b-248297d980dd;6;;;;;;OpeningHours;1
8092;d36e26da-a213-4ace-950a-3dab8afb5060;1;09:00:00;17:00:00;12:00:00;13:00:00;;OpeningHours;1
8093;c6c09a8f-c3c6-4fa9-93e7-40524ebb0db4;0;;;;;;ReceptionHours;3
8094;e0f7e7ca-4bf0-408e-a9f2-12d8200d96d8;2;15:00:00;17:00:00;;;;ReceptionHours;3
8095;51f32259-28f3-4353-ac79-8857b7756366;3;;;;;;ReceptionHours;3
8096;6db018be-1697-433c-aa24-a7336aaa8999;4;;;;;;ReceptionHours;3
8097;910fb672-cd91-4da4-b082-384b4c99f665;5;;;;;;ReceptionHours;3
8098;2b67371f-39ae-4cf3-8e5b-8ed08c992be2;6;;;;;;ReceptionHours;3
8099;5a14f5b8-32b1-4975-a379-62d0dd3758d3;1;;;;;;ReceptionHours;3
8100;2c633729-a9c9-46b6-addc-5c092642b08d;0;;;;;;OpeningHours;3
8101;41ff239a-49b8-40e0-9752-59eaaeec4a84;2;07:30:00;16:30:00;11:30:00;12:15:00;;OpeningHours;3
8102;5433751e-3ae8-4ef9-8f8d-ef5c12070c04;3;07:30:00;16:30:00;11:30:00;12:15:00;;OpeningHours;3
8103;7aa0b0b8-4eb8-43c1-bc9a-bd1d2a639ede;4;07:30:00;16:30:00;11:30:00;12:15:00;;OpeningHours;3
8104;3a8c60f8-4f73-4f2e-bea2-59d69e10b360;5;07:30:00;15:15:00;11:30:00;12:15:00;;OpeningHours;3
8105;a0bf42d4-5758-46bc-abeb-261df0e04c39;6;;;;;;OpeningHours;3
8106;3e3f1fd4-1ccf-45fd-853a-b5c8ec859a4d;1;07:30:00;16:30:00;11:30:00;12:15:00;;OpeningHours;3
8107;a2552dad-3c5a-4e18-a846-24a900ffe91f;0;;;;;;ReceptionHours;4
