id;guid;inn;kpp;url;ogrn;okfs;phone;ogrnip;orgOid;bankCode;fullName;orgEmail;shortName;orgAddress;chiefLastName;chiefFirstName;chiefMiddleName;organizationType
1;d333611a-8984-49d5-beb8-cebb6c62e26a;2130074046;213001001;;1102130006648;{'code': '10', 'guid': '341e8e55-4f2e-4ecc-ba90-61d4e58bd4a9', 'name': None, 'level': None, 'actual': None, 'parent': None, 'status': None, 'updDate': None, 'createDate': None, 'hasChildren': None, 'lastUpdateDate': None, 'rootEntityGuid': None};79033454746;;1006736857;;ТОВАРИЩЕСТВО СОБСТВЕННИКОВ ЖИЛЬЯ РУБИН;zhirnov_svv@mail.ru;ТСЖ РУБИН;428015, Чувашская Республика Чувашия, г Чебоксары, пр-кт Московский, д. 19, к. 11, кв. 2;Рубцов;Евгений;Геннадьевич;L
2;dc3e607f-05d5-4fc7-8da0-3e4ec5722d2f;2126003194;213001001;www.gcheb.cap.ru;1022101150037;;+7(8352)235123;;1002203827;;АДМИНИСТРАЦИЯ ГОРОДА ЧЕБОКСАРЫ ЧУВАШСКОЙ РЕСПУБЛИКИ;info@gcheb.cap.ru;Администрация г. Чебоксары;428032, ЧУВАШИЯ ЧУВАШСКАЯ РЕСПУБЛИКА -, Г ЧЕБОКСАРЫ, УЛ К.МАРКСА, д. 36;ладыков;алексей;олегович;A
3;0da25481-aad5-4655-a4f2-dd925897b6f8;2130017760;213001001;http://www.vodo-kanal.ru/;1072130006376;;+7 (835) 256-60-50;;1000313502;;АКЦИОНЕРНОЕ ОБЩЕСТВО ВОДОКАНАЛ;info.chvod@yandex.ru;АО Водоканал;428024, ЧУВАШИЯ ЧУВАШСКАЯ РЕСПУБЛИКА -, ГОРОД ЧЕБОКСАРЫ, ПРОЕЗД МЯСОКОМБИНАТСКИЙ, д. 12;Ярдыков;Александр;Егорович;L
4;b733b5b5-b479-46e5-8592-79a06907c6f9;2128700232;213001001;www.ch-sk.ru;1052128000033;;+7 (8352) 36-80-04 доб. 1029;;1000319702;;АКЦИОНЕРНОЕ ОБЩЕСТВО ЧУВАШСКАЯ ЭНЕРГОСБЫТОВАЯ КОМПАНИЯ;priem@ch-sk.ru;АО ЧУВАШСКАЯ ЭНЕРГОСБЫТОВАЯ КОМПАНИЯ;428020, ЧУВАШИЯ ЧУВАШСКАЯ РЕСПУБЛИКА -, ГОРОД ЧЕБОКСАРЫ, УЛИЦА ФЕДОРА ГЛАДКОВА, д. 13, к. А;Ермаков;Иван;Сергеевич;L
5;f2edd9a9-117c-4111-824d-b24901ec69ba;2126003807;213001001;www.gmch.ru;1022100971210;;+7 (8352) 54-66-30;;1000313304;;ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ГАЗПРОМ МЕЖРЕГИОНГАЗ ЧЕБОКСАРЫ;chrg@chrg.ru;ООО ГАЗПРОМ МЕЖРЕГИОНГАЗ ЧЕБОКСАРЫ;428031, ЧУВАШИЯ ЧУВАШСКАЯ РЕСПУБЛИКА -, ГОРОД ЧЕБОКСАРЫ, УЛИЦА 324 СТРЕЛКОВОЙ ДИВИЗИИ, д. 28, к. А;Мифтахутдинов;Кияметдин;Садыртдинович;L
6;ede2be33-8f8f-4e19-9d4d-96c508c98408;2125002448;212501001;www.gshum.cap.ru;1022103028837;;+7(83536)23445;;1009314356;;АДМИНИСТРАЦИЯ ГОРОДА ШУМЕРЛЯ ЧУВАШСКОЙ РЕСПУБЛИКИ;gshum@cap.ru;АДМИНИСТРАЦИЯ ГОРОДА ШУМЕРЛЯ;429122, Чувашская Республика Чувашия, г Шумерля, ул Октябрьская, д. 20;Зиновьев;Александр;Геннадьевич;A
7;4ef77d6e-ab43-42ca-a4ff-30a4b86e690d;2125007630;212501001;http://www.jkh.cap.ru/;1102138000084;{'code': '16', 'guid': '0791a19d-f8ca-4162-8ff8-075a5ed847cf', 'name': None, 'level': None, 'actual': None, 'parent': None, 'status': None, 'updDate': None, 'createDate': None, 'hasChildren': None, 'lastUpdateDate': None, 'rootEntityGuid': None};88353623114;;1006448987;;ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ НАШ ДОМ;ooonashdom-1@yandex.ru;ООО НАШ ДОМ;429120, Чувашская Республика Чувашия, г Шумерля, ул Щорса, д. 4;Оферкин;Юрий;Григорьевич;L
8;745579ec-8ae0-42b4-b103-7eace135e7c1;2125008930;212501001;-;1192130006947;;+7(835)3620938;;1105067585;;МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ШУМЕРЛИНСКОЕ ПРЕДПРИЯТИЕ ТЕПЛОВОДОСНАБЖЕНИЯ И ВОДООТВЕДЕНИЯ;mupshumteplo2019@yandex.ru;МУП ШПТИВ;429122, ЧУВАШИЯ ЧУВАШСКАЯ РЕСПУБЛИКА -, ГОРОД ШУМЕРЛЯ, УЛИЦА ОКТЯБРЬСКАЯ, д. ДОМ 20, кв. КАБИНЕТ 202;Агаков;Андрей;Владимирович;A
9;a5119bd9-fe78-4aed-97e4-faaedb1e0725;2125003272;212501001;http://www.jkh.cap.ru/page/orgs/org/1134;1142138000278;{'code': '10', 'guid': '341e8e55-4f2e-4ecc-ba90-61d4e58bd4a9', 'name': None, 'level': None, 'actual': None, 'parent': None, 'status': None, 'updDate': None, 'createDate': None, 'hasChildren': None, 'lastUpdateDate': None, 'rootEntityGuid': None};+7(83536)29412;;1006573744;;ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СИСТЕМА УПРАВЛЕНИЯ;sistemaupravleniya@mail.ru;ООО СИСТЕМА УПРАВЛЕНИЯ;429120, Чувашская Республика Чувашия, г Шумерля, ул МОПРА, д. 8;Швецова;Марина;Леонидовна;L
10;82e80114-89f2-42c1-ba80-dfa0f2864f50;2125002984;212501001;;1142138000091;;78353620011;;1013110546;;ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ КОММУНАЛЬНИК;ooo-kommunalnik@mail.ru;ООО КОММУНАЛЬНИК;429123, Чувашская Республика Чувашия, г Шумерля, ул Белинского, д. 1Б;Егоров;Николай;Николаевич;L
