id;guid;code;shortName;fullName
1;708b663b-8cb8-4114-84bc-e6b909c7f714;19;ТСЖ;Товарищество собственников жилья
2;52f5e0a4-7f4c-4fb1-9423-160e9178ddda;1;УО;Управляющая организация
3;238ba56f-98df-4798-9473-1ea4b404b62b;32;Организация, уполномоченная поставщиком информации на размещение информации;Организация, уполномоченная поставщиком информации на размещение информации
4;5c408b08-0a95-4ea2-8d78-55af6e6a5ac5;22;ЖСК;Жилищно-строительный кооператив
5;efd6b5b1-3428-4198-9959-1b299395b0ff;8;ОМС;Орган местного самоуправления
6;b8cf6e9c-7d2d-40eb-8a3f-938bb3182545;5;ОМЖК;Орган местного самоуправления, осуществляющий муниципальный жилищный контроль
7;00661aa1-ecc3-4cb2-8f81-ea82e0d14b84;38;ОМС по программе «Формирование современной городской среды»;Орган местного самоуправления, уполномоченный на ведение программы «Формирование современной городской среды»
8;645073f7-7d33-4708-9d3e-814892b13314;2;РСО;Ресурсоснабжающая организация
9;c5ce6f3a-332c-4a3f-b089-ec6cd506ce67;34;Единоличный собственник помещений в МКД;Единоличный собственник помещений в многоквартирном доме
10;83e33c49-17dc-441e-9cad-a91c391b8211;11;Администратор общего собрания собственников помещений в многоквартирном доме;Администратор общего собрания собственников помещений в многоквартирном доме
11;4b4ad980-a445-4ad3-9abc-091b127f9e14;23;Оператор ИС;Оператор информационной системы
12;4200dac0-7bee-46e9-b5a1-8b0374461962;27;Собственник помещения (наниматель);Собственник помещения (наниматель)
13;49ac2897-74ef-43ae-9495-1a822458a019;36;Расчетный центр;Расчетный центр
14;8b627dae-3e4e-41e9-9c8e-876e95149402;24;Оператор по приему платежей;Оператор по приему платежей
15;b9468598-0535-4d76-a462-32082dce86b7;20;ЖК;Жилищный кооператив
